"Pair","Condtion","Game","X","Y","Z","Role","Success","Target","Introducer","Succ_Introducer","Participant","Zdif","Xdif","Zratio","Xratio"
1,"normal",1,0.13025464508839,0.249216799731639,0.157216398344441,"director",1,"freedom",1,1,1,2.17745113372803,4.77869915962219,0.455657713740694,2.1946298061994
1,"normal",2,0.0420190373590097,0.149347373844591,0.10130300709494,"matcher",1,"anger",0,0,1,0.495318904519081,0.347393453121186,1.42581531133891,0.701353107970873
1,"normal",3,0.0933903036669963,0.222296327059627,0.0520604294994626,"director",1,"reality",1,1,1,4.8347462117672,8.56297650933266,0.564610472362955,1.77113257537519
1,"normal",4,0.00151780354396908,0.00276921429145723,0.00158480066747389,"matcher",1,"death",0,0,1,0.0285606384277348,0.0368784368038184,0.77445360766424,1.29123292874316
1,"normal",5,0.0911646809363571,0.263052913413905,0.0577060071208734,"director",1,"strength",1,1,1,3.29669830203056,4.55866047739983,0.723172589486405,1.38279577315036
1,"normal",6,0.00123631671855518,0.00155986152666659,0.000907712132736883,"matcher",0,"envy",0,0,1,0.0172570943832397,0.0423962473869319,0.407042968349103,2.45674309043055
1,"normal",7,0.139533777699136,0.208792208279517,0.0821704967700579,"director",1,"strength",0,0,1,0.906790584325791,1.9981894493103,0.453806111647111,2.20358424960486
1,"normal",8,0.00278963343378537,0.00156988273974433,0.000553182544474881,"matcher",1,"luxury",0,0,1,0.0321342647075653,0.0868070125579826,0.370180516074104,2.70138474765056
1,"normal",9,0.117658815582591,0.19909447046565,0.0756270380577365,"director",1,"strength",0,0,1,0.941438496112823,1.9473403096199,0.483448368763332,2.06847321164412
1,"normal",10,0.000645987514928861,0.000850019847013134,0.000411715881467032,"matcher",1,"war",0,0,1,0.019200593233108,0.0399227142333985,0.480944084133568,2.07924378943453
1,"normal",11,0.132194934316181,0.160181938307819,0.0694524145753232,"director",1,"luxury",1,1,1,0.943560183048248,2.56292641162872,0.368157344965914,2.71622993177709
1,"normal",12,0.0622649924297573,0.225811624631037,0.122997756910682,"matcher",1,"strength",0,0,1,0.45994209498167,0.350997000932694,1.31038753539056,0.763133022096362
1,"normal",13,0.103005613440632,0.203254502031668,0.0684585389687952,"director",1,"freedom",0,0,1,0.990219533443452,1.87690180540085,0.527581960118564,1.89544009384868
1,"normal",14,0.000607177077914334,0.000784177752836669,0.000292686518618844,"matcher",1,"freedom",0,0,1,0.00942119956016535,0.023164540529251,0.406707810511879,2.45876763158644
1,"normal",15,0.0436628592935409,0.081938327518627,0.0331000186690586,"director",1,"anger",1,1,1,1.30027207732201,2.51315054297447,0.517387261561757,1.93278821164142
1,"normal",16,0.000683305213006253,0.000825702034149644,0.000399489431036725,"matcher",1,"luck",0,0,1,0.0133428275585173,0.0285755991935726,0.466930805829559,2.141644945065
1,"normal",17,0.151771359475183,0.30310883471775,0.0496455080653951,"director",1,"reality",0,0,1,2.05982038378716,3.58166474103928,0.57510139354625,1.73882381649903
1,"normal",18,0.00187961988448842,0.00077786258735092,0.000436185362167841,"matcher",0,"strength",0,0,1,0.00836381316184986,0.0392243266105652,0.213230254910152,4.68976600164628
1,"normal",19,0.176560804117543,0.185866676251551,0.0565268661970723,"director",1,"war",1,1,1,1.91566610336304,5.1097092628479,0.374907065122398,2.66732770072905
1,"normal",20,0.00228614757300173,0.000959325247741639,0.000498396158588033,"matcher",1,"strength",0,0,1,0.0114932656288146,0.0316474735736847,0.363165344053605,2.75356670556206
1,"normal",21,0.156127915057211,0.284562572785969,0.0707134969568269,"director",1,"reality",0,0,1,2.36392369866371,3.97157257795334,0.595211003265086,1.68007646786502
1,"normal",22,0.00142384524094893,0.00105586076242387,0.000542891348451116,"matcher",1,"strength",0,0,1,0.00889012217521695,0.0212700366973876,0.417964590362405,2.39254717518756
1,"normal",23,0.139321287163175,0.200575848396515,0.0665845856142389,"director",1,"strength",0,0,1,0.962463229894638,1.8542445898056,0.519059478553227,1.92656148537601
1,"normal",24,0.0555445585458867,0.240504019556185,0.116901184891066,"matcher",0,"envy",0,0,1,0.786337532103061,0.667086958885193,1.17876316067871,0.848346837904414
1,"normal",25,0.0705807097110713,0.148079856369644,0.0403254606181375,"director",1,"anger",0,0,1,1.3745650947094,3.01020333170891,0.456635297765433,2.18993145053295
1,"normal",26,0.000734863760956928,0.000559402428068896,0.000480984070338253,"matcher",1,"war",0,0,1,0.0156294107437134,0.0375256836414337,0.416499027520882,2.40096599013035
1,"normal",27,0.111303274258596,0.224600272740814,0.0432204902748362,"director",1,"death",1,1,1,1.28088292479515,2.06306232511997,0.620864871215495,1.61065643485716
1,"normal",28,0.000897463944781416,0.00128476554441996,0.000863394664899358,"matcher",1,"luxury",0,0,1,0.0187358558177951,0.0427613258361817,0.438149553397198,2.28232573158294
1,"normal",29,0.0912131263766327,0.226629808694904,0.0741747863136947,"director",1,"freedom",0,0,1,1.08655905723572,1.89437538385391,0.573571144608744,1.74346288058501
1,"normal",30,0.0276356193162279,0.0246717657537294,0.0163003220747989,"matcher",1,"luck",0,0,1,0.272834777832032,0.920159161090852,0.296508244843844,3.37258749930091
1,"normal",31,0.104009436593759,0.223800139695849,0.0853074841080253,"director",1,"luck",1,1,1,1.22805508971214,2.2786560356617,0.53893833491878,1.85549985074026
1,"normal",32,0.00426598549886789,0.000885633070878703,0.00097384923321946,"matcher",1,"luxury",0,0,1,0.0162506997585296,0.0528289973735806,0.307609467649228,3.25087523359429
1,"normal",33,0.0792740446307608,0.221526380088354,0.0468226696243521,"director",0,"envy",1,0,1,1.26859241724014,1.22190427780151,1.03820932644792,0.963196895390404
1,"normal",34,0.0308640321486325,0.148204334457851,0.0630783923708905,"matcher",1,"war",0,0,1,0.482385709881782,0.434758305549621,1.10954915345884,0.901266966751913
1,"normal",35,0.203855719553226,0.183618947381331,0.0695370372624621,"director",1,"war",0,0,1,1.0261065363884,2.58804115653038,0.396479991749448,2.52219537129112
1,"normal",36,0.00117912031530525,0.00126474442604913,0.00109583483565498,"matcher",0,"envy",0,0,1,0.0182009041309357,0.0264625251293175,0.687799219537488,1.45391267043375
1,"normal",37,0.0696741003660823,0.220720941637943,0.0524831857475007,"director",0,"envy",0,0,1,1.38378158211708,1.08345064520836,1.277198539903,0.782963626059224
1,"normal",38,0.00669247574163714,0.00176400531822178,0.00346430818797789,"matcher",0,"luxury",0,0,1,0.0246771574020381,0.0587477982044215,0.42005246419909,2.38065500200479
1,"normal",39,0.181134078082794,0.183006526692495,0.0872938699699651,"director",1,"war",0,0,1,1.30022978782654,2.94977609813213,0.440789315721242,2.26865752942253
1,"normal",40,0.0472791415830757,0.0282214454744982,0.0132604567593262,"matcher",1,"war",0,0,1,0.156020313501357,0.564675241708756,0.276300963770302,3.61924180920097
1,"normal",41,0.151183460888117,0.241569073000098,0.0917469804589046,"director",1,"strength",0,0,1,1.36725959181786,2.38088318705559,0.574265717550272,1.74135416661444
1,"normal",42,0.000954714470954831,0.00109858495945613,0.000451908392253482,"matcher",1,"envy",0,0,1,0.014026433229447,0.0385645925998685,0.363712729315721,2.74942260580589
1,"normal",43,0.169185604949405,0.202715974732934,0.0766624922666881,"director",1,"luxury",0,0,1,1.38099011778831,3.45173108577728,0.400086241792887,2.49946110498264
1,"normal",44,0.00190270143833619,0.001280562572041,0.00120531641709654,"matcher",1,"death",0,0,1,0.0241106450557707,0.0479891598224643,0.502418570047233,1.99037229039123
1,"normal",45,0.173339696857725,0.301313489311948,0.0655646671525169,"director",0,"reality",0,0,1,2.34080386161804,3.54585593938828,0.660151991967805,1.51480266994145
2,"modified",0,0.33508461992197,0.286698388972911,0.225725573879082,"director",0,"freedom",1,0,2,15.3540192749351,23.8177384026349,0.644646398217077,1.55123801632296
2,"modified",1,0.00187362773443538,0.00135226336470391,0.00094119846853359,"matcher",0,"luxury",0,0,2,0.0555835887789729,0.137117147445679,0.405372995386977,2.46686387938935
2,"modified",2,0.00664981048749853,0.0118886187731015,0.00599900949731556,"director",0,"luck",1,0,2,0.0615774318575863,0.0704454779624937,0.874114757094431,1.1440145494443
