Pair,Condtion,Game,X,Y,Z,Role,Success,Target,Introducer,Succ_Introducer,Participant
1,normal,1,0.01651004405544835,0.010928944516354785,0.005321516385531495,matcher,1,freedom,0,0,26
1,normal,2,0.06529170101401717,0.12706357492724285,0.04634160865259504,director,1,anger,1,1,26
1,normal,3,0.02630790142081123,0.010396070306937944,0.015248854510911052,matcher,1,reality,0,0,26
1,normal,4,0.11870213298858195,0.10019166262875176,0.03632979593948261,director,1,death,1,1,26
1,normal,5,0.011789229769110671,0.005090139550269002,0.0022958111417838646,matcher,1,strength,0,0,26
1,normal,6,0.06541048678793258,0.12681079482615443,0.030311044791672834,director,0,envy,1,0,26
1,normal,7,0.0003020868114963927,0.001439116875378861,0.0010786370922605992,matcher,1,strength,0,0,26
1,normal,8,0.2587482670408917,0.2669106472296174,0.042410476854962596,director,1,luxury,1,1,26
1,normal,9,0.0006947624910046911,0.0010790844788466176,0.000613112761041802,matcher,1,strength,0,0,26
1,normal,10,0.2219790921161387,0.23415772254215791,0.06098787290991437,director,1,war,1,1,26
1,normal,11,0.0017387201877341332,0.0015211237183045266,0.0013227903127997103,matcher,1,luxury,0,0,26
1,normal,12,0.20658043217058208,0.27743612112016003,0.0613675842468237,director,1,strength,1,1,26
1,normal,13,0.0003483167090677957,0.0006971243608005462,0.0009630331284357525,matcher,1,freedom,0,0,26
1,normal,14,0.1556384002568735,0.3222208731892732,0.028312050635848126,director,1,freedom,1,1,26
1,normal,15,0.06211937828354591,0.025268552243787143,0.00630931062716589,matcher,1,anger,0,0,26
1,normal,16,0.10511537753076654,0.2625283097674643,0.03447819234724745,director,1,luck,1,1,26
1,normal,17,0.016067285619111506,0.004665961152649863,0.001964600845886448,matcher,1,reality,0,0,26
1,normal,18,0.1709663917360516,0.2666302120872179,0.05638435593095757,director,0,strength,0,0,26
1,normal,19,0.026909004432815423,0.006374786120196046,0.010896593989897016,matcher,1,war,0,0,26
1,normal,20,0.26711079563713286,0.28707475109866787,0.06273082029861456,director,1,strength,0,0,26
1,normal,21,0.011357634702712963,0.010134049180355991,0.0053145642773814936,matcher,1,reality,0,0,26
1,normal,22,0.21334076091437448,0.30944395540799124,0.0655754001106831,director,1,strength,0,0,26
1,normal,23,0.0004211195348593486,0.0005773382857498452,0.00048030277554719563,matcher,1,strength,0,0,26
1,normal,24,0.05712960609312734,0.190787992878607,0.024469657640606463,director,0,envy,0,0,26
1,normal,25,0.036974975133278916,0.0050276284683918,0.012849716300334952,matcher,1,anger,0,0,26
1,normal,26,0.12860680000844693,0.09358136908474718,0.04739387263105726,director,1,war,0,0,26
1,normal,27,0.0010786508390247037,0.0007384697550778071,0.000552376023275425,matcher,1,death,0,0,26
1,normal,28,0.30609351893994013,0.26379284851330337,0.06369917092915907,director,1,luxury,0,0,26
1,normal,29,0.07029433745242514,0.03431666054767593,0.03315728715050031,matcher,1,freedom,0,0,26
1,normal,30,0.14680670180042116,0.3158037952164444,0.06606942423997711,director,1,luck,0,0,26
1,normal,31,0.003306391937448892,0.004376233179196662,0.0014857060138328043,matcher,1,luck,0,0,26
1,normal,32,0.3846295242494769,0.29819324083416154,0.07940098845179289,director,1,luxury,0,0,26
1,normal,33,0.05718675608893996,0.024981222299772517,0.026649275432247457,matcher,0,envy,0,0,26
1,normal,34,0.16310386005373312,0.11668624272212715,0.04824471926350028,director,1,war,0,0,26
1,normal,35,0.0005915779646805037,0.0007303711381394868,0.0004044790781298176,matcher,1,war,0,0,26
1,normal,36,0.09141959817913294,0.17190184941093556,0.030947859306837997,director,0,envy,0,0,26
1,normal,37,0.00031109330335539096,0.0006481246899730377,0.0006036868320539983,matcher,0,envy,0,0,26
1,normal,38,0.412067270037707,0.2798447620880887,0.0840115554583048,director,0,luxury,0,0,26
1,normal,39,0.03665363951492046,0.004461942885107145,0.005642380751295408,matcher,1,war,0,0,26
1,normal,40,0.22188718027460566,0.2605838040892009,0.05443828366846495,director,1,war,0,0,26
1,normal,41,0.013963872321056526,0.0027917793284397093,0.002088119897572837,matcher,1,strength,0,0,26
1,normal,42,0.10547996013374272,0.14267082343244666,0.034481869769826964,director,1,envy,0,0,26
1,normal,43,0.01834309696622724,0.002790043758880792,0.0022924045138197286,matcher,1,luxury,0,0,26
1,normal,44,0.06924714866301995,0.19373106732094705,0.0376432708940832,director,1,death,0,0,26
1,normal,45,0.000572473447397781,0.0009532502292596452,0.00046775260127111107,matcher,0,reality,0,0,26
2,modified,0,0.037084361531654196,0.06012273869597764,0.017099122318151687,matcher,0,freedom,0,0,27
2,modified,1,0.28790667011397914,0.153378817652442,0.08162140697427304,director,0,luxury,1,0,27
2,modified,2,0.013186070442214618,0.02045026278542039,0.013891531538372031,matcher,0,luck,0,0,27
2,modified,3,0.28079447572502214,0.09243939503701477,0.13936965001886636,director,1,freedom,1,1,27
2,modified,4,0.006660864572436765,0.0024239389071512387,0.0028711369921907625,matcher,0,war,0,0,27
2,modified,5,0.11035440887372049,0.12614272018228365,0.0958928391140124,director,0,luck,1,0,27
2,modified,6,0.027719540069635673,0.024805588356696325,0.005393885217124329,matcher,1,reality,0,0,27
2,modified,7,0.011246374195235104,0.0077277670021649045,0.026852971231961554,director,1,death,1,1,27
2,modified,8,0.02321878484794145,0.04538904810375126,0.005627344515460097,matcher,0,strength,0,0,27
2,modified,9,0.054730662110404386,0.18726938690090097,0.07315398496813488,director,1,strength,1,1,27
2,modified,10,0.0034629375169789203,0.002104349291269742,0.0006864727072300614,matcher,1,envy,0,0,27
2,modified,11,0.2876466015731584,0.11039875997964531,0.11743672272540813,director,1,reality,1,1,27
2,modified,12,0.003700112298293615,0.0027313574558593275,0.001772954680119509,matcher,1,death,0,0,27
2,modified,13,0.04020289694909693,0.09960404774341573,0.11016372177421284,director,0,luck,0,0,27
2,modified,14,0.002910049852863916,0.0045679714983201955,0.0011008356606185211,matcher,0,freedom,0,0,27
2,modified,15,0.15156836588063116,0.166395169792428,0.11202425784495526,director,1,anger,1,1,27
2,modified,16,0.012485069662770049,0.005076371994428089,0.006093704508875152,matcher,1,anger,0,0,27
2,modified,17,0.31817594185051434,0.10471901246949958,0.15894061226274933,director,1,reality,0,0,27
2,modified,18,0.012566580095813126,0.015570201553845255,0.02122681469208747,matcher,1,strength,0,0,27
2,modified,19,0.23478639742833757,0.23843909653183362,0.14731173473626383,director,1,freedom,0,0,27
2,modified,20,0.004422179834236177,0.012513321581549367,0.024274587977663364,matcher,1,war,0,0,27
2,modified,21,0.13481112687839586,0.14562402118269616,0.14639760006000582,director,1,envy,1,1,27
2,modified,22,0.005114477214503321,0.0018899958009989974,0.0014030251966124403,matcher,1,strength,0,0,27
2,modified,23,0.10115574886306442,0.16018192918121515,0.15615623115577165,director,0,envy,0,0,27
2,modified,24,0.006085909816605293,0.002526206711828564,0.000854426351793094,matcher,1,freedom,0,0,27
2,modified,25,0.1365714713961327,0.18945450767250502,0.15108699865625538,director,1,freedom,0,0,27
2,modified,26,0.005235330107666206,0.0026409148672589147,0.0010341812011463603,matcher,1,death,0,0,27
2,modified,27,0.22611827867376622,0.12236287492070456,0.10115239130023457,director,1,fear,1,1,27
2,modified,28,0.006324230073266839,0.0038976131313808583,0.003908933510413836,matcher,1,strength,0,0,27
2,modified,29,0.01593269153192791,0.12939010948166554,0.08844743716152428,director,0,luck,0,0,27
2,modified,30,0.02082137519398,0.01444222209141424,0.014744150347701879,matcher,1,envy,0,0,27
2,modified,31,0.37930445970023724,0.12816160882314043,0.09941505330752398,director,1,luxury,0,0,27
2,modified,32,0.005979818460860413,0.0022859674826472827,0.001066506705182874,matcher,1,fear,0,0,27
2,modified,33,0.3069475107122241,0.15104341010230135,0.10670553576925768,director,1,luxury,0,0,27
2,modified,34,0.0034214087179196685,0.0011142585135869355,0.0008177229505331636,matcher,1,freedom,0,0,27
2,modified,35,0.2205779363877167,0.1566906766865123,0.0862532691503533,director,1,anger,0,0,27
2,modified,36,0.020058203915274055,0.03115219837447889,0.022611086768913748,matcher,1,luxury,0,0,27
2,modified,37,0.376434190972892,0.16799712071057327,0.11331397787590254,director,1,luxury,0,0,27
2,modified,38,0.010335514284216894,0.03243186725438689,0.0289447455257285,matcher,0,luck,0,0,27
2,modified,39,0.15103848117382834,0.08110617587400173,0.07599510111689065,director,1,war,1,1,27
2,modified,40,0.019383173014189525,0.04576498843826971,0.03932837042183794,matcher,1,anger,0,0,27
2,modified,41,0.2257844541851356,0.11017532141607649,0.17753855660929882,director,1,freedom,0,0,27
