Pair,Condtion,Game,Time,Time2,Time3
1,normal,1,97975.0,1238422500125.0,1238422598100.0
1,normal,2,15900.0,1238422603200.0,1238422619100.0
1,normal,3,78975.0,1238422624125.0,1238422703100.0
1,normal,4,22975.0,1238422708125.0,1238422731100.0
1,normal,5,45600.0,1238422736500.0,1238422782100.0
1,normal,6,23899.0,1238422787100.0,1238422810999.0
1,normal,7,12767.0,1238422815333.0,1238422828100.0
1,normal,8,43850.0,1238422833250.0,1238422877100.0
1,normal,9,16934.0,1238422882166.0,1238422899100.0
1,normal,10,35767.0,1238422904333.0,1238422940100.0
1,normal,11,20000.0,1238422944100.0,1238422964100.0
1,normal,12,10934.0,1238422969166.0,1238422980100.0
1,normal,13,15900.0,1238422985200.0,1238423001100.0
1,normal,14,12850.0,1238423006250.0,1238423019100.0
1,normal,15,20934.0,1238423024166.0,1238423045100.0
1,normal,16,20767.0,1238423050333.0,1238423071100.0
1,normal,17,18934.0,1238423076166.0,1238423095100.0
1,normal,18,12000.0,1238423099100.0,1238423111100.0
1,normal,19,22958.0,1238423116142.0,1238423139100.0
1,normal,20,12958.0,1238423144142.0,1238423157100.0
1,normal,21,14934.0,1238423162166.0,1238423177100.0
1,normal,22,11934.0,1238423182166.0,1238423194100.0
1,normal,23,9975.0,1238423199125.0,1238423209100.0
1,normal,24,13900.0,1238423214200.0,1238423228100.0
1,normal,25,12975.0,1238423234125.0,1238423247100.0
1,normal,26,25857.0,1238423252142.0,1238423277999.0
1,normal,27,18767.0,1238423282333.0,1238423301100.0
1,normal,28,20850.0,1238423306250.0,1238423327100.0
1,normal,29,14499.0,1238423332500.0,1238423346999.0
1,normal,30,33850.0,1238423351250.0,1238423385100.0
1,normal,31,13000.0,1238423389100.0,1238423402100.0
1,normal,32,18600.0,1238423407500.0,1238423426100.0
1,normal,33,18600.0,1238423431500.0,1238423450100.0
1,normal,34,20989.0,1238423456111.0,1238423477100.0
1,normal,35,11767.0,1238423482333.0,1238423494100.0
1,normal,36,11958.0,1238423499142.0,1238423511100.0
1,normal,37,18767.0,1238423516333.0,1238423535100.0
1,normal,38,15000.0,1238423540100.0,1238423555100.0
1,normal,39,12934.0,1238423560166.0,1238423573100.0
1,normal,40,10600.0,1238423578500.0,1238423589100.0
1,normal,41,11900.0,1238423594200.0,1238423606100.0
1,normal,42,22900.0,1238423611200.0,1238423634100.0
1,normal,43,14900.0,1238423639200.0,1238423654100.0
1,normal,44,22600.0,1238423659500.0,1238423682100.0
1,normal,45,11900.0,1238423687200.0,1238423699100.0
2,modified,0,31975.0,1238406180125.0,1238406212100.0
2,modified,1,30975.0,1238406218125.0,1238406249100.0
2,modified,2,8767.0,1238406254333.0,1238406263100.0
2,modified,3,27850.0,1238406268250.0,1238406296100.0
2,modified,4,17850.0,1238406301250.0,1238406319100.0
2,modified,5,20000.0,1238406324100.0,1238406344100.0
2,modified,6,31000.0,1238406349100.0,1238406380100.0
2,modified,7,19975.0,1238406385125.0,1238406405100.0
2,modified,8,7958.0,1238406410142.0,1238406418100.0
2,modified,9,10874.0,1238406424125.0,1238406434999.0
2,modified,10,13666.0,1238406439333.0,1238406452999.0
2,modified,11,17850.0,1238406457250.0,1238406475100.0
2,modified,12,9958.0,1238406480142.0,1238406490100.0
2,modified,13,14958.0,1238406495142.0,1238406510100.0
2,modified,14,10874.0,1238406515125.0,1238406525999.0
2,modified,15,8600.0,1238406530500.0,1238406539100.0
2,modified,16,7000.0,1238406544100.0,1238406551100.0
2,modified,17,10900.0,1238406556200.0,1238406567100.0
2,modified,18,8600.0,1238406571500.0,1238406580100.0
2,modified,19,13499.0,1238406585500.0,1238406598999.0
2,modified,20,15749.0,1238406603250.0,1238406618999.0
2,modified,21,20749.0,1238406623250.0,1238406643999.0
2,modified,22,8850.0,1238406648250.0,1238406657100.0
2,modified,23,15958.0,1238406662142.0,1238406678100.0
2,modified,24,8934.0,1238406683166.0,1238406692100.0
2,modified,25,8874.0,1238406697125.0,1238406705999.0
2,modified,26,7767.0,1238406710333.0,1238406718100.0
2,modified,27,13799.0,1238406723200.0,1238406736999.0
2,modified,28,6850.0,1238406741250.0,1238406748100.0
2,modified,29,3958.0,1238406753142.0,1238406757100.0
2,modified,30,10975.0,1238406763125.0,1238406774100.0
2,modified,31,11600.0,1238406779500.0,1238406791100.0
2,modified,32,10975.0,1238406796125.0,1238406807100.0
2,modified,33,4850.0,1238406812250.0,1238406817100.0
2,modified,34,5749.0,1238406822250.0,1238406827999.0
2,modified,35,7975.0,1238406833125.0,1238406841100.0
2,modified,36,11934.0,1238406846166.0,1238406858100.0
2,modified,37,9000.0,1238406863100.0,1238406872100.0
2,modified,38,22899.0,1238406877100.0,1238406899999.0
2,modified,39,18600.0,1238406904500.0,1238406923100.0
2,modified,40,5874.0,1238406928125.0,1238406933999.0
2,modified,41,7850.0,1238406938250.0,1238406946100.0
2,modified,42,10000.0,1238406951100.0,1238406961100.0
2,modified,43,10767.0,1238406966333.0,1238406977100.0
2,modified,44,9000.0,1238406981100.0,1238406990100.0
2,modified,45,12958.0,1238406995142.0,1238407008100.0
2,modified,46,5666.0,1238407013333.0,1238407018999.0
2,modified,47,8900.0,1238407023200.0,1238407032100.0
2,modified,48,6857.0,1238407037142.0,1238407043999.0
2,modified,49,5000.0,1238407048100.0,1238407053100.0
2,modified,50,5666.0,1238407058333.0,1238407063999.0
